1744662588.156057 server started (2863): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1744662588.156071 on Linux 5.15.167.4-microsoft-standard-WSL2 #1 SMP Tue Nov 5 00:21:55 UTC 2024
1744662588.156075 using libevent 2.1.12-stable poll
1744662588.156077 using ncurses 6.4 20240113
1744662588.164848 args_parse: 18 = command-prompt -I "#S" { rename-session "%%" } (type COMMANDS)
1744662588.164849 args_parse: 19 =  (type STRING)
1744662588.164851 args_parse: 20 = New Session (type STRING)
1744662588.164852 args_parse: 21 = s (type STRING)
1744662588.164854 args_parse: 22 = new-session (type COMMANDS)
1744662588.164855 args_parse: 23 = New Window (type STRING)
1744662588.164857 args_parse: 24 = w (type STRING)
1744662588.164858 args_parse: 25 = new-window (type COMMANDS)
1744662588.164872 cmd_parse_build_commands: display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window }
1744662588.164874 args_parse_flags: next -n
1744662588.164876 args_parse_flags: -n
1744662588.164877 args_parse_flags: next M-MouseDown3StatusLeft
1744662588.164879 args_parse: flags end at 2 of 4
1744662588.164880 args_parse: 2 = M-MouseDown3StatusLeft (type STRING)
1744662588.164892 args_parse: 3 = display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window } (type COMMANDS)
1744662588.164905 cmd_parse_build_commands: bind-key -n M-MouseDown3StatusLeft { display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window } }
1744662588.164909 cmdq_get_command: [bind-key/0x559a3268ab00] group 986
1744662588.164910 cmdq_append <global>: [bind-key/0x559a3268ab00]
1744662588.164914 yylex_token: end at WS
1744662588.164915 yylex_token: bind
1744662588.164917 yylex_token: end at WS
1744662588.164918 yylex_token: -n
1744662588.164920 yylex_token: end at WS
1744662588.164921 yylex_token: MouseDown3Status
1744662588.164922 yylex_token: end at WS
1744662588.164924 yylex_token: display-menu
1744662588.164925 yylex_token: end at WS
1744662588.164926 yylex_token: -t=
1744662588.164927 yylex_token: end at WS
1744662588.164928 yylex_token: -xW
1744662588.164930 yylex_token: end at WS
1744662588.164931 yylex_token: -yW
1744662588.164932 yylex_token: end at WS
1744662588.164933 yylex_token: -T
1744662588.164935 yylex_token: end at WS
1744662588.164937 yylex_token: #[align=centre]#{window_index}:#{window_name}
1744662588.164939 yylex_token: end at WS
1744662588.164940 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Left
1744662588.164942 yylex_token: end at WS
1744662588.164943 yylex_token: l
1744662588.164944 yylex_token: end at WS
1744662588.164946 yylex_token: swap-window
1744662588.164947 yylex_token: end at }
1744662588.164948 yylex_token: -t:-1
1744662588.164951 yylex_token: end at WS
1744662588.164952 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Right
1744662588.164953 yylex_token: end at WS
1744662588.164955 yylex_token: r
1744662588.164956 yylex_token: end at WS
1744662588.164959 yylex_token: swap-window
1744662588.164961 yylex_token: end at }
1744662588.164962 yylex_token: -t:+1
1744662588.164964 yylex_token: end at WS
1744662588.164965 yylex_token: #{?pane_marked_set,,-}Swap Marked
1744662588.164967 yylex_token: end at WS
1744662588.164968 yylex_token: s
1744662588.164969 yylex_token: end at }
1744662588.164970 yylex_token: swap-window
1744662588.164972 yylex_token: end at WS
1744662588.164973 yylex_token: 
1744662588.164974 yylex_token: end at WS
1744662588.164976 yylex_token: Kill
1744662588.164977 yylex_token: end at WS
1744662588.164978 yylex_token: X
1744662588.164979 yylex_token: end at }
1744662588.164981 yylex_token: kill-window
1744662588.164982 yylex_token: end at WS
1744662588.164983 yylex_token: Respawn
1744662588.164985 yylex_token: end at WS
1744662588.164986 yylex_token: R
1744662588.164987 yylex_token: end at WS
1744662588.164989 yylex_token: respawn-window
1744662588.164990 yylex_token: end at }
1744662588.164991 yylex_token: -k
1744662588.164993 yylex_token: end at WS
1744662588.164994 yylex_token: #{?pane_marked,Unmark,Mark}
1744662588.164996 yylex_token: end at WS
1744662588.164997 yylex_token: m
1744662588.164998 yylex_token: end at WS
1744662588.164999 yylex_token: select-pane
1744662588.165001 yylex_token: end at }
1744662588.165002 yylex_token: -m
1744662588.165003 yylex_token: end at WS
1744662588.165005 yylex_token: Rename
1744662588.165006 yylex_token: end at WS
1744662588.165007 yylex_token: n
1744662588.165009 yylex_token: end at WS
1744662588.165010 yylex_token: command-prompt
1744662588.165011 yylex_token: end at WS
1744662588.165012 yylex_token: -FI
1744662588.165014 yylex_token: end at WS
1744662588.165015 yylex_token: #W
1744662588.165017 yylex_token: end at WS
1744662588.165018 yylex_token: rename-window
1744662588.165019 yylex_token: end at WS
1744662588.165020 yylex_token: -t
1744662588.165022 yylex_token: end at WS
1744662588.165023 yylex_token: #{window_id}
1744662588.165024 yylex_token: end at WS
1744662588.165026 yylex_token: --
1744662588.165027 yylex_token: end at }
1744662588.165028 yylex_token: %%
1744662588.165030 yylex_token: end at WS
1744662588.165031 yylex_token: 
1744662588.165032 yylex_token: end at WS
1744662588.165034 yylex_token: New After
1744662588.165035 yylex_token: end at WS
1744662588.165036 yylex_token: w
1744662588.165038 yylex_token: end at WS
1744662588.165039 yylex_token: new-window
1744662588.165040 yylex_token: end at }
1744662588.165041 yylex_token: -a
1744662588.165043 yylex_token: end at WS
1744662588.165044 yylex_token: New At End
1744662588.165045 yylex_token: end at WS
1744662588.165046 yylex_token: W
1744662588.165048 yylex_token: end at }
1744662588.165049 yylex_token: new-window
1744662588.165051 cmd_parse_build_commands 0:0: bind
1744662588.165053 cmd_parse_build_commands 0:1: -n
1744662588.165054 cmd_parse_build_commands 0:2: MouseDown3Status
1744662588.165056 cmd_parse_build_commands 0:3 0:0: display-menu
1744662588.165057 cmd_parse_build_commands 0:3 0:1: -t=
1744662588.165058 cmd_parse_build_commands 0:3 0:2: -xW
1744662588.165060 cmd_parse_build_commands 0:3 0:3: -yW
1744662588.165061 cmd_parse_build_commands 0:3 0:4: -T
1744662588.165062 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{window_index}:#{window_name}
1744662588.165064 cmd_parse_build_commands 0:3 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1744662588.165065 cmd_parse_build_commands 0:3 0:7: l
1744662588.165067 cmd_parse_build_commands 0:3 0:8 0:0: swap-window
1744662588.165068 cmd_parse_build_commands 0:3 0:8 0:1: -t:-1
1744662588.165070 cmd_parse_build_commands 0:3 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1744662588.165071 cmd_parse_build_commands 0:3 0:10: r
1744662588.165073 cmd_parse_build_commands 0:3 0:11 0:0: swap-window
1744662588.165074 cmd_parse_build_commands 0:3 0:11 0:1: -t:+1
1744662588.165076 cmd_parse_build_commands 0:3 0:12: #{?pane_marked_set,,-}Swap Marked
1744662588.165077 cmd_parse_build_commands 0:3 0:13: s
1744662588.165079 cmd_parse_build_commands 0:3 0:14 0:0: swap-window
1744662588.165080 cmd_parse_build_commands 0:3 0:15: 
1744662588.165083 cmd_parse_build_commands 0:3 0:16: Kill
1744662588.165084 cmd_parse_build_commands 0:3 0:17: X
1744662588.165086 cmd_parse_build_commands 0:3 0:18 0:0: kill-window
1744662588.165087 cmd_parse_build_commands 0:3 0:19: Respawn
1744662588.165089 cmd_parse_build_commands 0:3 0:20: R
1744662588.165090 cmd_parse_build_commands 0:3 0:21 0:0: respawn-window
1744662588.165091 cmd_parse_build_commands 0:3 0:21 0:1: -k
1744662588.165093 cmd_parse_build_commands 0:3 0:22: #{?pane_marked,Unmark,Mark}
1744662588.165094 cmd_parse_build_commands 0:3 0:23: m
1744662588.165096 cmd_parse_build_commands 0:3 0:24 0:0: select-pane
1744662588.165097 cmd_parse_build_commands 0:3 0:24 0:1: -m
1744662588.165098 cmd_parse_build_commands 0:3 0:25: Rename
1744662588.165099 cmd_parse_build_commands 0:3 0:26: n
1744662588.165101 cmd_parse_build_commands 0:3 0:27 0:0: command-prompt
1744662588.165102 cmd_parse_build_commands 0:3 0:27 0:1: -FI
1744662588.165104 cmd_parse_build_commands 0:3 0:27 0:2: #W
1744662588.165105 cmd_parse_build_commands 0:3 0:27 0:3 0:0: rename-window
1744662588.165106 cmd_parse_build_commands 0:3 0:27 0:3 0:1: -t
1744662588.165108 cmd_parse_build_commands 0:3 0:27 0:3 0:2: #{window_id}
1744662588.165109 cmd_parse_build_commands 0:3 0:27 0:3 0:3: --
1744662588.165110 cmd_parse_build_commands 0:3 0:27 0:3 0:4: %%
1744662588.165112 cmd_parse_build_commands 0:3 0:28: 
1744662588.165113 cmd_parse_build_commands 0:3 0:29: New After
1744662588.165114 cmd_parse_build_commands 0:3 0:30: w
1744662588.165117 cmd_parse_build_commands 0:3 0:31 0:0: new-window
1744662588.165118 cmd_parse_build_commands 0:3 0:31 0:1: -a
1744662588.165120 cmd_parse_build_commands 0:3 0:32: New At End
1744662588.165121 cmd_parse_build_commands 0:3 0:33: W
1744662588.165122 cmd_parse_build_commands 0:3 0:34 0:0: new-window
1744662588.165124 cmd_parse_build_commands 0:0: display-menu
1744662588.165126 cmd_parse_build_commands 0:1: -t=
1744662588.165127 cmd_parse_build_commands 0:2: -xW
1744662588.165128 cmd_parse_build_commands 0:3: -yW
1744662588.165130 cmd_parse_build_commands 0:4: -T
1744662588.165131 cmd_parse_build_commands 0:5: #[align=centre]#{window_index}:#{window_name}
1744662588.165132 cmd_parse_build_commands 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1744662588.165134 cmd_parse_build_commands 0:7: l
1744662588.165135 cmd_parse_build_commands 0:8 0:0: swap-window
1744662588.165136 cmd_parse_build_commands 0:8 0:1: -t:-1
1744662588.165138 cmd_parse_build_commands 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1744662588.165139 cmd_parse_build_commands 0:10: r
1744662588.165141 cmd_parse_build_commands 0:11 0:0: swap-window
1744662588.165142 cmd_parse_build_commands 0:11 0:1: -t:+1
1744662588.165143 cmd_parse_build_commands 0:12: #{?pane_marked_set,,-}Swap Marked
1744662588.165145 cmd_parse_build_commands 0:13: s
1744662588.165146 cmd_parse_build_commands 0:14 0:0: swap-window
1744662588.165147 cmd_parse_build_commands 0:15: 
1744662588.165149 cmd_parse_build_commands 0:16: Kill
1744662588.165150 cmd_parse_build_commands 0:17: X
1744662588.165151 cmd_parse_build_commands 0:18 0:0: kill-window
1744662588.165153 cmd_parse_build_commands 0:19: Respawn
1744662588.165154 cmd_parse_build_commands 0:20: R
1744662588.165155 cmd_parse_build_commands 0:21 0:0: respawn-window
1744662588.165157 cmd_parse_build_commands 0:21 0:1: -k
1744662588.165159 cmd_parse_build_commands 0:22: #{?pane_marked,Unmark,Mark}
1744662588.165160 cmd_parse_build_commands 0:23: m
1744662588.165162 cmd_parse_build_commands 0:24 0:0: select-pane
1744662588.165163 cmd_parse_build_commands 0:24 0:1: -m
1744662588.165164 cmd_parse_build_commands 0:25: Rename
1744662588.165166 cmd_parse_build_commands 0:26: n
1744662588.165167 cmd_parse_build_commands 0:27 0:0: command-prompt
1744662588.165169 cmd_parse_build_commands 0:27 0:1: -FI
1744662588.165170 cmd_parse_build_commands 0:27 0:2: #W
1744662588.165171 cmd_parse_build_commands 0:27 0:3 0:0: rename-window
1744662588.165173 cmd_parse_build_commands 0:27 0:3 0:1: -t
1744662588.165174 cmd_parse_build_commands 0:27 0:3 0:2: #{window_id}
1744662588.165179 cmd_parse_build_commands 0:27 0:3 0:3: --
1744662588.165180 cmd_parse_build_commands 0:27 0:3 0:4: %%
1744662588.165181 cmd_parse_build_commands 0:28: 
1744662588.165183 cmd_parse_build_commands 0:29: New After
1744662588.165184 cmd_parse_build_commands 0:30: w
1744662588.165185 cmd_parse_build_commands 0:31 0:0: new-window
1744662588.165187 cmd_parse_build_commands 0:31 0:1: -a
1744662588.165188 cmd_parse_build_commands 0:32: New At End
1744662588.165189 cmd_parse_build_commands 0:33: W
1744662588.165191 cmd_parse_build_commands 0:34 0:0: new-window
1744662588.165193 cmd_parse_build_commands 0:0: swap-window
1744662588.165194 cmd_parse_build_commands 0:1: -t:-1
1744662588.165197 args_parse_flags: next -t:-1
1744662588.165198 args_parse_flag_argument: -t = :-1
1744662588.165200 args_parse: flags end at 2 of 2
1744662588.165202 cmd_parse_build_commands: swap-window -t :-1
1744662588.165203 cmd_parse_build_commands 0:0: swap-window
1744662588.165206 cmd_parse_build_commands 0:1: -t:+1
1744662588.165208 args_parse_flags: next -t:+1
1744662588.165209 args_parse_flag_argument: -t = :+1
1744662588.165211 args_parse: flags end at 2 of 2
1744662588.165213 cmd_parse_build_commands: swap-window -t :+1
1744662588.165214 cmd_parse_build_commands 0:0: swap-window
1744662588.165217 args_parse: flags end at 1 of 1
1744662588.165218 cmd_parse_build_commands: swap-window
1744662588.165220 cmd_parse_build_commands 0:0: kill-window
1744662588.165222 args_parse: flags end at 1 of 1
1744662588.165223 cmd_parse_build_commands: kill-window
1744662588.165225 cmd_parse_build_commands 0:0: respawn-window
1744662588.165226 cmd_parse_build_commands 0:1: -k
1744662588.165228 args_parse_flags: next -k
1744662588.165230 args_parse_flags: -k
1744662588.165231 args_parse: flags end at 2 of 2
1744662588.165233 cmd_parse_build_commands: respawn-window -k
1744662588.165234 cmd_parse_build_commands 0:0: select-pane
1744662588.165236 cmd_parse_build_commands 0:1: -m
1744662588.165238 args_parse_flags: next -m
1744662588.165239 args_parse_flags: -m
1744662588.165240 args_parse: flags end at 2 of 2
1744662588.165242 cmd_parse_build_commands: select-pane -m
1744662588.165247 cmd_parse_build_commands 0:0: command-prompt
1744662588.165248 cmd_parse_build_commands 0:1: -FI
1744662588.165250 cmd_parse_build_commands 0:2: #W
1744662588.165251 cmd_parse_build_commands 0:3 0:0: rename-window
1744662588.165252 cmd_parse_build_commands 0:3 0:1: -t
1744662588.165254 cmd_parse_build_commands 0:3 0:2: #{window_id}
1744662588.165255 cmd_parse_build_commands 0:3 0:3: --
1744662588.165256 cmd_parse_build_commands 0:3 0:4: %%
1744662588.165258 cmd_parse_build_commands 0:0: rename-window
1744662588.165260 cmd_parse_build_commands 0:1: -t
1744662588.165261 cmd_parse_build_commands 0:2: #{window_id}
1744662588.165262 cmd_parse_build_commands 0:3: --
1744662588.165264 cmd_parse_build_commands 0:4: %%
1744662588.165266 args_parse_flags: next -t
1744662588.165267 args_parse_flag_argument: -t = #{window_id}
1744662588.165268 args_parse_flags: next --
1744662588.165270 args_parse: flags end at 4 of 5
1744662588.165271 args_parse: 4 = %% (type STRING)
1744662588.165274 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1744662588.165276 args_parse_flags: next -FI
1744662588.165277 args_parse_flags: -F
1744662588.165278 args_parse_flag_argument: -I = #W
1744662588.165280 args_parse: flags end at 3 of 4
1744662588.165282 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1744662588.165286 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1744662588.165289 cmd_parse_build_commands 0:0: new-window
1744662588.165290 cmd_parse_build_commands 0:1: -a
1744662588.165292 args_parse_flags: next -a
1744662588.165294 args_parse_flags: -a
1744662588.165295 args_parse: flags end at 2 of 2
1744662588.165297 cmd_parse_build_commands: new-window -a
1744662588.165299 cmd_parse_build_commands 0:0: new-window
1744662588.165301 args_parse: flags end at 1 of 1
1744662588.165303 cmd_parse_build_commands: new-window
1744662588.165306 args_parse_flags: next -t=
1744662588.165308 args_parse_flag_argument: -t = =
1744662588.165309 args_parse_flags: next -xW
1744662588.165310 args_parse_flag_argument: -x = W
1744662588.165311 args_parse_flags: next -yW
1744662588.165313 args_parse_flag_argument: -y = W
1744662588.165314 args_parse_flags: next -T
1744662588.165316 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1744662588.165317 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1744662588.165319 args_parse: flags end at 6 of 35
1744662588.165320 args_parse: 6 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1744662588.165322 args_parse: 7 = l (type STRING)
1744662588.165324 args_parse: 8 = swap-window -t :-1 (type COMMANDS)
1744662588.165326 args_parse: 9 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1744662588.165327 args_parse: 10 = r (type STRING)
1744662588.165329 args_parse: 11 = swap-window -t :+1 (type COMMANDS)
1744662588.165331 args_parse: 12 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1744662588.165332 args_parse: 13 = s (type STRING)
1744662588.165334 args_parse: 14 = swap-window (type COMMANDS)
1744662588.165335 args_parse: 15 =  (type STRING)
1744662588.165337 args_parse: 16 = Kill (type STRING)
1744662588.165338 args_parse: 17 = X (type STRING)
1744662588.165340 args_parse: 18 = kill-window (type COMMANDS)
1744662588.165341 args_parse: 19 = Respawn (type STRING)
1744662588.165343 args_parse: 20 = R (type STRING)
1744662588.165345 args_parse: 21 = respawn-window -k (type COMMANDS)
1744662588.165346 args_parse: 22 = #{?pane_marked,Unmark,Mark} (type STRING)
1744662588.165348 args_parse: 23 = m (type STRING)
1744662588.165350 args_parse: 24 = select-pane -m (type COMMANDS)
1744662588.165351 args_parse: 25 = Rename (type STRING)
1744662588.165352 args_parse: 26 = n (type STRING)
1744662588.165356 args_parse: 27 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1744662588.165358 args_parse: 28 =  (type STRING)
1744662588.165359 args_parse: 29 = New After (type STRING)
1744662588.165361 args_parse: 30 = w (type STRING)
1744662588.165362 args_parse: 31 = new-window -a (type COMMANDS)
1744662588.165365 args_parse: 32 = New At End (type STRING)
1744662588.165366 args_parse: 33 = W (type STRING)
1744662588.165368 args_parse: 34 = new-window (type COMMANDS)
1744662588.165389 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1744662588.165391 args_parse_flags: next -n
1744662588.165392 args_parse_flags: -n
1744662588.165394 args_parse_flags: next MouseDown3Status
1744662588.165395 args_parse: flags end at 2 of 4
1744662588.165396 args_parse: 2 = MouseDown3Status (type STRING)
1744662588.165414 args_parse: 3 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1744662588.165436 cmd_parse_build_commands: bind-key -n MouseDown3Status { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1744662588.165442 cmdq_get_command: [bind-key/0x559a3268df50] group 1022
1744662588.165444 cmdq_append <global>: [bind-key/0x559a3268df50]
1744662588.165448 yylex_token: end at WS
1744662588.165449 yylex_token: bind
1744662588.165451 yylex_token: end at WS
1744662588.165452 yylex_token: -n
1744662588.165453 yylex_token: end at WS
1744662588.165455 yylex_token: M-MouseDown3Status
1744662588.165456 yylex_token: end at WS
1744662588.165458 yylex_token: display-menu
1744662588.165459 yylex_token: end at WS
1744662588.165460 yylex_token: -t=
1744662588.165461 yylex_token: end at WS
1744662588.165462 yylex_token: -xW
1744662588.165464 yylex_token: end at WS
1744662588.165465 yylex_token: -yW
1744662588.165466 yylex_token: end at WS
1744662588.165467 yylex_token: -T
1744662588.165470 yylex_token: end at WS
1744662588.165471 yylex_token: #[align=centre]#{window_index}:#{window_name}
1744662588.165473 yylex_token: end at WS
1744662588.165474 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Left
1744662588.165476 yylex_token: end at WS
1744662588.165477 yylex_token: l
1744662588.165479 yylex_token: end at WS
1744662588.165480 yylex_token: swap-window
1744662588.165481 yylex_token: end at }
1744662588.165482 yylex_token: -t:-1
1744662588.165485 yylex_token: end at WS
1744662588.165486 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Right
1744662588.165487 yylex_token: end at WS
1744662588.165489 yylex_token: r
1744662588.165490 yylex_token: end at WS
1744662588.165491 yylex_token: swap-window
1744662588.165493 yylex_token: end at }
1744662588.165494 yylex_token: -t:+1
1744662588.165496 yylex_token: end at WS
1744662588.165497 yylex_token: #{?pane_marked_set,,-}Swap Marked
1744662588.165499 yylex_token: end at WS
1744662588.165500 yylex_token: s
1744662588.165501 yylex_token: end at }
1744662588.165503 yylex_token: swap-window
1744662588.165504 yylex_token: end at WS
1744662588.165505 yylex_token: 
1744662588.165506 yylex_token: end at WS
1744662588.165508 yylex_token: Kill
1744662588.165509 yylex_token: end at WS
1744662588.165510 yylex_token: X
1744662588.165512 yylex_token: end at }
1744662588.165513 yylex_token: kill-window
1744662588.165514 yylex_token: end at WS
1744662588.165516 yylex_token: Respawn
1744662588.165517 yylex_token: end at WS
1744662588.165518 yylex_token: R
1744662588.165519 yylex_token: end at WS
1744662588.165521 yylex_token: respawn-window
1744662588.165522 yylex_token: end at }
1744662588.165524 yylex_token: -k
1744662588.165526 yylex_token: end at WS
1744662588.165527 yylex_token: #{?pane_marked,Unmark,Mark}
1744662588.165528 yylex_token: end at WS
1744662588.165529 yylex_token: m
1744662588.165531 yylex_token: end at WS
1744662588.165532 yylex_token: select-pane
1744662588.165534 yylex_token: end at }
1744662588.165535 yylex_token: -m
1744662588.165536 yylex_token: end at WS
1744662588.165537 yylex_token: Rename
1744662588.165539 yylex_token: end at WS
1744662588.165540 yylex_token: n
1744662588.165541 yylex_token: end at WS
1744662588.165543 yylex_token: command-prompt
1744662588.165544 yylex_token: end at WS
1744662588.165545 yylex_token: -FI
1744662588.165546 yylex_token: end at WS
1744662588.165547 yylex_token: #W
1744662588.165549 yylex_token: end at WS
1744662588.165550 yylex_token: rename-window
1744662588.165551 yylex_token: end at WS
1744662588.165553 yylex_token: -t
1744662588.165554 yylex_token: end at WS
1744662588.165555 yylex_token: #{window_id}
1744662588.165557 yylex_token: end at WS
1744662588.165558 yylex_token: --
1744662588.165559 yylex_token: end at }
1744662588.165560 yylex_token: %%
1744662588.165562 yylex_token: end at WS
1744662588.165563 yylex_token: 
1744662588.165564 yylex_token: end at WS
1744662588.165566 yylex_token: New After
1744662588.165569 yylex_token: end at WS
1744662588.165570 yylex_token: w
1744662588.165571 yylex_token: end at WS
1744662588.165573 yylex_token: new-window
1744662588.165574 yylex_token: end at }
1744662588.165575 yylex_token: -a
1744662588.165577 yylex_token: end at WS
1744662588.165578 yylex_token: New At End
1744662588.165579 yylex_token: end at WS
1744662588.165580 yylex_token: W
1744662588.165582 yylex_token: end at }
1744662588.165583 yylex_token: new-window
1744662588.165585 cmd_parse_build_commands 0:0: bind
1744662588.165587 cmd_parse_build_commands 0:1: -n
1744662588.165588 cmd_parse_build_commands 0:2: M-MouseDown3Status
1744662588.165590 cmd_parse_build_commands 0:3 0:0: display-menu
1744662588.165591 cmd_parse_build_commands 0:3 0:1: -t=
1744662588.165592 cmd_parse_build_commands 0:3 0:2: -xW
1744662588.165594 cmd_parse_build_commands 0:3 0:3: -yW
1744662588.165595 cmd_parse_build_commands 0:3 0:4: -T
1744662588.165596 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{window_index}:#{window_name}
1744662588.165598 cmd_parse_build_commands 0:3 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1744662588.165599 cmd_parse_build_commands 0:3 0:7: l
1744662588.165601 cmd_parse_build_commands 0:3 0:8 0:0: swap-window
1744662588.165602 cmd_parse_build_commands 0:3 0:8 0:1: -t:-1
1744662588.165604 cmd_parse_build_commands 0:3 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1744662588.165605 cmd_parse_build_commands 0:3 0:10: r
1744662588.165607 cmd_parse_build_commands 0:3 0:11 0:0: swap-window
1744662588.165608 cmd_parse_build_commands 0:3 0:11 0:1: -t:+1
1744662588.165610 cmd_parse_build_commands 0:3 0:12: #{?pane_marked_set,,-}Swap Marked
1744662588.165611 cmd_parse_build_commands 0:3 0:13: s
1744662588.165612 cmd_parse_build_commands 0:3 0:14 0:0: swap-window
1744662588.165614 cmd_parse_build_commands 0:3 0:15: 
1744662588.165615 cmd_parse_build_commands 0:3 0:16: Kill
1744662588.165616 cmd_parse_build_commands 0:3 0:17: X
1744662588.165618 cmd_parse_build_commands 0:3 0:18 0:0: kill-window
1744662588.165619 cmd_parse_build_commands 0:3 0:19: Respawn
1744662588.165620 cmd_parse_build_commands 0:3 0:20: R
1744662588.165622 cmd_parse_build_commands 0:3 0:21 0:0: respawn-window
1744662588.165623 cmd_parse_build_commands 0:3 0:21 0:1: -k
1744662588.165624 cmd_parse_build_commands 0:3 0:22: #{?pane_marked,Unmark,Mark}
1744662588.165626 cmd_parse_build_commands 0:3 0:23: m
1744662588.165627 cmd_parse_build_commands 0:3 0:24 0:0: select-pane
1744662588.165628 cmd_parse_build_commands 0:3 0:24 0:1: -m
1744662588.165630 cmd_parse_build_commands 0:3 0:25: Rename
1744662588.165631 cmd_parse_build_commands 0:3 0:26: n
1744662588.165633 cmd_parse_build_commands 0:3 0:27 0:0: command-prompt
1744662588.165634 cmd_parse_build_commands 0:3 0:27 0:1: -FI
1744662588.165635 cmd_parse_build_commands 0:3 0:27 0:2: #W
1744662588.165637 cmd_parse_build_commands 0:3 0:27 0:3 0:0: rename-window
1744662588.165664 cmd_parse_build_commands 0:3 0:27 0:3 0:1: -t
1744662588.165667 cmd_parse_build_commands 0:3 0:27 0:3 0:2: #{window_id}
1744662588.165669 cmd_parse_build_commands 0:3 0:27 0:3 0:3: --
1744662588.165671 cmd_parse_build_commands 0:3 0:27 0:3 0:4: %%
1744662588.165672 cmd_parse_build_commands 0:3 0:28: 
1744662588.165673 cmd_parse_build_commands 0:3 0:29: New After
1744662588.165675 cmd_parse_build_commands 0:3 0:30: w
1744662588.165676 cmd_parse_build_commands 0:3 0:31 0:0: new-window
1744662588.165678 cmd_parse_build_commands 0:3 0:31 0:1: -a
1744662588.165679 cmd_parse_build_commands 0:3 0:32: New At End
1744662588.165681 cmd_parse_build_commands 0:3 0:33: W
1744662588.165682 cmd_parse_build_commands 0:3 0:34 0:0: new-window
1744662588.165684 cmd_parse_build_commands 0:0: display-menu
1744662588.165686 cmd_parse_build_commands 0:1: -t=
1744662588.165689 cmd_parse_build_commands 0:2: -xW
